epoch,train_loss,validation_score
1,1.72101704676946,1.0689968699790329
2,1.586395307381948,1.1401070132470905
3,1.547048000494639,1.112235124314577
4,1.534415566921234,1.1065125498538209
5,1.52257790962855,1.0887511448263232
6,1.5168137629826863,1.1128429609798982
7,1.5075195988019308,1.0290196004829106
